col,xvar,xfe,yvar,other
pitch_type,,,,X
game_date,,,,X
release_speed,X,,,
release_pos_x,X,,,
release_pos_z,X,,,
player_name,,X,,
batter,,X,,
pitcher,,X,,
events,,,X,
description,,,X,
spin_dir,X,,,
spin_rate_deprecated,,,,X
break_angle_deprecated,,,,X
break_length_deprecated,,,,X
zone,X,,,
des,,,,X
game_type,X,,,
stand,X,,,
p_throws,X,,,
home_team,X,,,
away_team,X,,,
type,X,,,
hit_location,,,X,
bb_type,,,X,
balls,X,,,
strikes,X,,,
game_year,,X,,
pfx_x,X,,,
pfx_z,X,,,
plate_x,,,X,
plate_z,,,X,
on_3b,X,,,
on_2b,X,,,
on_1b,X,,,
outs_when_up,X,,,
inning,X,,,
inning_topbot,X,,,
hc_x,,,X,
hc_y,,,X,
tfs_deprecated,,,,X
tfs_zulu_deprecated,,,,X
fielder_2,,X,,
umpire,,,,X
sv_id,,,,X
vx0,X,,,
vy0,X,,,
vz0,X,,,
ax,X,,,
ay,X,,,
az,X,,,
sz_top,,,X,
sz_bot,,,X,
hit_distance_sc,,,,X
launch_speed,,,,X
launch_angle,,,,X
effective_speed,X,,,
release_spin_rate,X,,,
release_extension,X,,,
game_pk,,,,X
pitcher.1,,,,X
fielder_2.1,,,,X
fielder_3,,,,X
fielder_4,,,,X
fielder_5,,,,X
fielder_6,,,,X
fielder_7,,,,X
fielder_8,,,,X
fielder_9,,,,X
release_pos_y,X,,,
estimated_ba_using_speedangle,,,X,
estimated_woba_using_speedangle,,,X,
woba_value,,,X,
woba_denom,,,X,
babip_value,,,X,
iso_value,,,X,
launch_speed_angle,,,X,
at_bat_number,X,,,
pitch_number,X,,,
pitch_name,,X,,
home_score,X,,,
away_score,X,,,
bat_score,X,,,
fld_score,X,,,
post_away_score,,,X,
post_home_score,,,X,
post_bat_score,,,X,
post_fld_score,,,X,
if_fielding_alignment,X,,,
of_fielding_alignment,X,,,
spin_axis,X,,,
delta_home_win_exp,,,X,
delta_run_exp,,,X,
bat_speed,,,X,
swing_length,,,X,
ump_name_0b,,X,,
ump_name_1b,,,,X
ump_name_2b,,,,X
ump_name_3b,,,,X
missing_umps,,,,X
pitch_id,,,,X
strike_dummy,,,X,
center_z,X,,,
dist_z,X,,,
distance_from_center,X,,,
is_above_zone,X,,,
is_below_zone,X,,,
is_left_zone,X,,,
is_right_zone,X,,,
is_above_right,X,,,
is_above_left,X,,,
is_below_right,X,,,
is_below_left,X,,,
events_catcher_interf,,,X,
events_caught_stealing_2b,,,X,
events_caught_stealing_3b,,,X,
events_double,,,X,
events_double_play,,,X,
events_field_error,,,X,
events_field_out,,,X,
events_fielders_choice,,,X,
events_fielders_choice_out,,,X,
events_force_out,,,X,
events_game_advisory,,,X,
events_grounded_into_double_play,,,X,
events_hit_by_pitch,,,X,
events_home_run,,,X,
events_other_out,,,X,
events_pickoff_caught_stealing_home,,,X,
events_sac_bunt,,,X,
events_sac_fly,,,X,
events_sac_fly_double_play,,,X,
events_single,,,X,
events_strikeout,,,X,
events_strikeout_double_play,,,X,
events_triple,,,X,
events_triple_play,,,X,
events_walk,,,X,
events_wild_pitch,,,X,
events_NA,,,X,
is_discretionary_pitch,,,,X
discretionary_call,,,,X
is_called_strike,,,X,
is_called_ball,,,X,
is_correct_call,,,X,
is_noncall,,,X,
month,,X,,
day_of_week,,X,,
ump_season_pitches_called,X,,,
ump_season_correct_cml,X,,,
pitcher_season_pitches_thrown,X,,,
pitcher_season_strike_zone_cml,X,,,